,E1,E2,REL
23490,GENE-Y,CHEMICAL,Not
23491,GENE-Y,CHEMICAL,Not
23492,GENE-Y,CHEMICAL,Not
23493,GENE-Y,GENE-Y,Not
23494,GENE-Y,GENE-Y,Not
23495,GENE-Y,GENE-Y,Not
23496,GENE-Y,CHEMICAL,Not
23497,GENE-Y,CHEMICAL,Not
23498,GENE-Y,CHEMICAL,Not
23499,GENE-Y,GENE-Y,Not
23500,GENE-Y,GENE-Y,Not
23501,GENE-Y,GENE-Y,Not
23502,GENE-Y,CHEMICAL,Not
23503,GENE-Y,CHEMICAL,Not
23504,GENE-Y,CHEMICAL,Not
23505,GENE-Y,GENE-Y,Not
23506,GENE-Y,GENE-Y,Not
23507,GENE-Y,GENE-Y,Not
23508,CHEMICAL,GENE-N,Not
23509,GENE-N,CHEMICAL,Not
23510,CHEMICAL,GENE-N,Downregulator
23511,CHEMICAL,GENE-Y,Downregulator
23512,CHEMICAL,CHEMICAL,Not
23513,CHEMICAL,CHEMICAL,Not
23514,CHEMICAL,GENE-N,Not
23515,CHEMICAL,GENE-Y,Not
23516,GENE-N,CHEMICAL,Not
23517,GENE-N,CHEMICAL,Not
23518,GENE-N,GENE-Y,Not
23519,GENE-Y,CHEMICAL,Not
23520,GENE-Y,CHEMICAL,Not
23521,GENE-Y,GENE-N,Not
23522,CHEMICAL,GENE-N,Downregulator
23523,CHEMICAL,GENE-Y,Downregulator
23524,CHEMICAL,GENE-Y,Downregulator
23525,CHEMICAL,CHEMICAL,Not
23526,CHEMICAL,CHEMICAL,Not
23527,CHEMICAL,GENE-N,Not
23528,CHEMICAL,GENE-Y,Not
23529,CHEMICAL,GENE-Y,Not
23530,GENE-N,CHEMICAL,Not
23531,GENE-N,CHEMICAL,Not
23532,GENE-N,GENE-Y,Not
23533,GENE-N,GENE-Y,Not
23534,GENE-Y,CHEMICAL,Not
23535,GENE-Y,CHEMICAL,Not
23536,GENE-Y,GENE-N,Not
23537,GENE-Y,GENE-Y,Not
23538,GENE-Y,CHEMICAL,Not
23539,GENE-Y,CHEMICAL,Not
23540,GENE-Y,GENE-N,Not
23541,GENE-Y,GENE-Y,Not
23542,CHEMICAL,GENE-N,Antagonist
23543,CHEMICAL,CHEMICAL,Not
23544,CHEMICAL,CHEMICAL,Not
23545,CHEMICAL,GENE-N,Not
23546,GENE-N,CHEMICAL,Not
23547,GENE-N,CHEMICAL,Not
23548,CHEMICAL,CHEMICAL,Not
23549,CHEMICAL,CHEMICAL,Not
23550,CHEMICAL,CHEMICAL,Not
23551,CHEMICAL,GENE-Y,Not
23552,GENE-Y,CHEMICAL,Not
23553,CHEMICAL,CHEMICAL,Not
23554,CHEMICAL,CHEMICAL,Not
23555,CHEMICAL,CHEMICAL,Not
23556,CHEMICAL,GENE-Y,Not
23557,GENE-Y,CHEMICAL,Not
23558,CHEMICAL,CHEMICAL,Not
23559,CHEMICAL,GENE-Y,Not
23560,GENE-Y,CHEMICAL,Not
23561,CHEMICAL,CHEMICAL,Not
23562,CHEMICAL,GENE-Y,Not
23563,CHEMICAL,GENE-Y,Not
23564,CHEMICAL,GENE-Y,Not
23565,CHEMICAL,CHEMICAL,Not
23566,CHEMICAL,CHEMICAL,Not
23567,CHEMICAL,GENE-Y,Not
23568,CHEMICAL,GENE-Y,Not
23569,GENE-Y,GENE-Y,Not
23570,CHEMICAL,CHEMICAL,Not
23571,CHEMICAL,CHEMICAL,Not
23572,CHEMICAL,CHEMICAL,Not
23573,CHEMICAL,CHEMICAL,Not
23574,CHEMICAL,CHEMICAL,Not
23575,CHEMICAL,CHEMICAL,Not
23576,CHEMICAL,GENE-Y,Not
23577,CHEMICAL,CHEMICAL,Not
23578,CHEMICAL,CHEMICAL,Not
23579,GENE-Y,CHEMICAL,Not
23580,CHEMICAL,CHEMICAL,Not
23581,CHEMICAL,CHEMICAL,Not
23582,CHEMICAL,CHEMICAL,Not
23583,CHEMICAL,CHEMICAL,Not
23584,CHEMICAL,CHEMICAL,Not
23585,CHEMICAL,CHEMICAL,Not
23586,CHEMICAL,CHEMICAL,Not
23587,CHEMICAL,CHEMICAL,Not
23588,CHEMICAL,CHEMICAL,Not
23589,CHEMICAL,CHEMICAL,Not
23590,CHEMICAL,CHEMICAL,Not
23591,GENE-Y,CHEMICAL,Not
23592,CHEMICAL,CHEMICAL,Not
23593,CHEMICAL,CHEMICAL,Not
23594,CHEMICAL,CHEMICAL,Not
23595,CHEMICAL,CHEMICAL,Not
23596,CHEMICAL,CHEMICAL,Not
23597,CHEMICAL,CHEMICAL,Not
23598,CHEMICAL,CHEMICAL,Not
23599,CHEMICAL,CHEMICAL,Not
23600,CHEMICAL,CHEMICAL,Not
23601,CHEMICAL,CHEMICAL,Not
23602,CHEMICAL,CHEMICAL,Not
23603,CHEMICAL,CHEMICAL,Not
23604,CHEMICAL,GENE-Y,Substrate
23605,GENE-Y,CHEMICAL,Not
23606,CHEMICAL,CHEMICAL,Not
23607,CHEMICAL,CHEMICAL,Not
23608,CHEMICAL,GENE-N,Not
23609,CHEMICAL,CHEMICAL,Not
23610,CHEMICAL,CHEMICAL,Not
23611,CHEMICAL,GENE-N,Not
23612,CHEMICAL,CHEMICAL,Not
23613,CHEMICAL,CHEMICAL,Not
23614,CHEMICAL,GENE-N,Not
23615,GENE-N,CHEMICAL,Not
23616,GENE-N,CHEMICAL,Not
23617,GENE-N,CHEMICAL,Not
23618,CHEMICAL,GENE-Y,Substrate
23619,CHEMICAL,GENE-Y,Substrate
23620,CHEMICAL,GENE-Y,Substrate
23621,CHEMICAL,CHEMICAL,Not
23622,CHEMICAL,CHEMICAL,Not
23623,CHEMICAL,CHEMICAL,Not
23624,CHEMICAL,CHEMICAL,Not
23625,CHEMICAL,CHEMICAL,Not
23626,CHEMICAL,CHEMICAL,Not
23627,GENE-Y,CHEMICAL,Not
23628,GENE-Y,CHEMICAL,Not
23629,GENE-Y,CHEMICAL,Not
23630,CHEMICAL,GENE-Y,Downregulator
23631,CHEMICAL,GENE-Y,Downregulator
23632,GENE-Y,CHEMICAL,Not
23633,GENE-Y,GENE-Y,Not
23634,GENE-Y,CHEMICAL,Not
23635,GENE-Y,GENE-Y,Not
23636,CHEMICAL,GENE-Y,Downregulator
23637,CHEMICAL,GENE-Y,Not
23638,CHEMICAL,CHEMICAL,Not
23639,CHEMICAL,CHEMICAL,Not
23640,GENE-Y,CHEMICAL,Not
23641,GENE-Y,CHEMICAL,Not
23642,CHEMICAL,GENE-Y,Not
23643,CHEMICAL,GENE-Y,Not
23644,CHEMICAL,CHEMICAL,Not
23645,CHEMICAL,CHEMICAL,Not
23646,GENE-Y,CHEMICAL,Not
23647,GENE-Y,CHEMICAL,Not
23648,CHEMICAL,GENE-Y,Downregulator
23649,CHEMICAL,GENE-Y,Not
23650,CHEMICAL,GENE-Y,Not
23651,CHEMICAL,GENE-N,Not
23652,GENE-Y,CHEMICAL,Not
23653,GENE-Y,GENE-Y,Not
23654,GENE-Y,GENE-N,Not
23655,GENE-Y,GENE-Y,Not
23656,GENE-Y,CHEMICAL,Not
23657,GENE-Y,GENE-Y,Not
23658,GENE-Y,GENE-N,Not
23659,GENE-Y,GENE-Y,Not
23660,GENE-N,CHEMICAL,Not
23661,GENE-N,GENE-Y,Not
23662,GENE-N,GENE-Y,Not
23663,GENE-N,GENE-Y,Not
23664,GENE-Y,CHEMICAL,Not
23665,GENE-Y,GENE-Y,Not
23666,GENE-Y,GENE-Y,Not
23667,GENE-Y,GENE-N,Not
23668,CHEMICAL,GENE-Y,Downregulator
23669,CHEMICAL,GENE-Y,Not
23670,CHEMICAL,GENE-Y,Not
23671,CHEMICAL,GENE-Y,Not
23672,CHEMICAL,GENE-Y,Not
23673,CHEMICAL,GENE-Y,Not
23674,GENE-Y,CHEMICAL,Not
23675,GENE-Y,GENE-Y,Not
23676,GENE-Y,GENE-Y,Not
23677,GENE-Y,GENE-Y,Not
23678,GENE-Y,GENE-Y,Not
23679,GENE-Y,GENE-Y,Not
23680,GENE-Y,CHEMICAL,Not
23681,GENE-Y,GENE-Y,Not
23682,GENE-Y,GENE-Y,Not
23683,GENE-Y,GENE-Y,Not
23684,GENE-Y,GENE-Y,Not
23685,GENE-Y,GENE-Y,Not
23686,GENE-Y,CHEMICAL,Not
23687,GENE-Y,GENE-Y,Not
23688,GENE-Y,GENE-Y,Not
23689,GENE-Y,GENE-Y,Not
23690,GENE-Y,GENE-Y,Not
23691,GENE-Y,GENE-Y,Not
23692,GENE-Y,CHEMICAL,Not
23693,GENE-Y,GENE-Y,Not
23694,GENE-Y,GENE-Y,Not
23695,GENE-Y,GENE-Y,Not
23696,GENE-Y,GENE-Y,Not
23697,GENE-Y,GENE-Y,Not
23698,GENE-Y,CHEMICAL,Not
23699,GENE-Y,GENE-Y,Not
23700,GENE-Y,GENE-Y,Not
23701,GENE-Y,GENE-Y,Not
23702,GENE-Y,GENE-Y,Not
23703,GENE-Y,GENE-Y,Not
23704,GENE-Y,CHEMICAL,Not
23705,GENE-Y,GENE-Y,Not
23706,GENE-Y,GENE-Y,Not
23707,GENE-Y,GENE-Y,Not
23708,GENE-Y,GENE-Y,Not
23709,GENE-Y,GENE-Y,Not
23710,CHEMICAL,GENE-Y,Downregulator
23711,CHEMICAL,GENE-N,Downregulator
23712,CHEMICAL,GENE-N,Downregulator
23713,CHEMICAL,GENE-N,Downregulator
23714,GENE-Y,CHEMICAL,Not
23715,GENE-Y,GENE-N,Not
23716,GENE-Y,GENE-N,Not
23717,GENE-Y,GENE-N,Not
23718,GENE-N,CHEMICAL,Not
23719,GENE-N,GENE-Y,Not
23720,GENE-N,GENE-N,Not
23721,GENE-N,GENE-N,Not
23722,GENE-N,CHEMICAL,Not
23723,GENE-N,GENE-Y,Not
23724,GENE-N,GENE-N,Not
23725,GENE-N,GENE-N,Not
23726,GENE-N,CHEMICAL,Not
23727,GENE-N,GENE-Y,Not
23728,GENE-N,GENE-N,Not
23729,GENE-N,GENE-N,Not
23730,CHEMICAL,GENE-N,Downregulator
23731,CHEMICAL,GENE-N,Downregulator
23732,CHEMICAL,CHEMICAL,Not
23733,CHEMICAL,CHEMICAL,Not
23734,CHEMICAL,CHEMICAL,Not
23735,CHEMICAL,GENE-N,Not
23736,CHEMICAL,GENE-N,Not
23737,CHEMICAL,CHEMICAL,Not
23738,CHEMICAL,CHEMICAL,Not
23739,CHEMICAL,CHEMICAL,Not
23740,CHEMICAL,GENE-N,Not
23741,CHEMICAL,CHEMICAL,Not
23742,CHEMICAL,CHEMICAL,Not
23743,CHEMICAL,CHEMICAL,Not
23744,CHEMICAL,GENE-N,Not
23745,CHEMICAL,CHEMICAL,Not
23746,CHEMICAL,CHEMICAL,Not
23747,CHEMICAL,CHEMICAL,Not
23748,CHEMICAL,GENE-N,Not
23749,CHEMICAL,GENE-N,Not
23750,GENE-N,CHEMICAL,Not
23751,GENE-N,CHEMICAL,Not
23752,GENE-N,CHEMICAL,Not
23753,GENE-N,CHEMICAL,Not
23754,GENE-N,GENE-N,Not
23755,GENE-N,CHEMICAL,Not
23756,GENE-N,CHEMICAL,Not
23757,GENE-N,CHEMICAL,Not
23758,GENE-N,CHEMICAL,Not
23759,GENE-N,GENE-N,Not
23760,CHEMICAL,CHEMICAL,Not
23761,CHEMICAL,GENE-N,Not
23762,CHEMICAL,CHEMICAL,Not
23763,CHEMICAL,GENE-N,Not
23764,GENE-N,CHEMICAL,Not
23765,GENE-N,CHEMICAL,Not
23766,CHEMICAL,GENE-Y,Downregulator
23767,GENE-N,GENE-Y,Not
23768,GENE-N,CHEMICAL,Not
23769,GENE-N,GENE-Y,Not
23770,GENE-Y,CHEMICAL,Not
23771,GENE-N,GENE-N,Not
23772,CHEMICAL,GENE-N,Not
23773,GENE-N,GENE-N,Not
23774,GENE-N,GENE-Y,Not
23775,GENE-N,GENE-Y,Not
23776,GENE-N,GENE-N,Not
23777,GENE-Y,GENE-N,Not
23778,GENE-N,GENE-Y,Not
23779,GENE-N,GENE-N,Not
23780,GENE-N,GENE-N,Not
23781,GENE-Y,GENE-N,Not
23782,CHEMICAL,GENE-N,Not
23783,GENE-N,CHEMICAL,Not
23784,GENE-N,GENE-N,Not
23785,GENE-N,GENE-N,Not
23786,GENE-Y,GENE-N,Not
23787,GENE-N,CHEMICAL,Not
23788,GENE-Y,GENE-N,Not
23789,GENE-N,GENE-N,Not
23790,GENE-N,GENE-Y,Not
23791,GENE-N,GENE-N,Not
23792,GENE-Y,GENE-N,Not
23793,GENE-N,GENE-N,Not
23794,GENE-N,GENE-N,Not
23795,GENE-N,GENE-Y,Not
23796,GENE-N,GENE-Y,Not
23797,GENE-N,GENE-N,Not
23798,CHEMICAL,GENE-N,Not
23799,GENE-N,GENE-Y,Not
23800,GENE-N,GENE-N,Not
23801,CHEMICAL,GENE-N,Not
23802,GENE-Y,GENE-N,Not
23803,GENE-N,GENE-Y,Not
23804,GENE-Y,GENE-N,Not
23805,CHEMICAL,GENE-Y,Not
23806,GENE-N,GENE-N,Not
23807,GENE-N,GENE-N,Not
23808,GENE-N,CHEMICAL,Not
23809,GENE-N,GENE-N,Not
23810,GENE-N,CHEMICAL,Not
23811,GENE-N,GENE-N,Not
23812,GENE-Y,CHEMICAL,Not
23813,GENE-N,GENE-N,Not
23814,GENE-N,GENE-N,Not
23815,GENE-Y,GENE-N,Not
23816,CHEMICAL,GENE-Y,Downregulator
23817,GENE-Y,CHEMICAL,Not
23818,GENE-N,GENE-N,Not
23819,GENE-N,GENE-N,Not
23820,GENE-N,GENE-N,Not
23821,GENE-N,GENE-N,Not
23822,GENE-N,GENE-N,Not
23823,GENE-N,GENE-N,Not
23824,GENE-N,GENE-N,Not
23825,GENE-N,GENE-N,Not
23826,GENE-Y,GENE-Y,Not
23827,GENE-Y,GENE-N,Not
23828,GENE-Y,GENE-Y,Not
23829,GENE-Y,GENE-Y,Not
23830,GENE-Y,GENE-N,Not
23831,GENE-Y,GENE-Y,Not
23832,GENE-N,GENE-Y,Not
23833,GENE-N,GENE-Y,Not
23834,GENE-N,GENE-Y,Not
23835,GENE-Y,GENE-Y,Not
23836,GENE-Y,GENE-Y,Not
23837,GENE-Y,GENE-N,Not
23838,GENE-Y,GENE-Y,Not
23839,GENE-Y,GENE-Y,Not
23840,GENE-Y,GENE-Y,Not
23841,GENE-Y,GENE-Y,Not
23842,GENE-Y,GENE-Y,Not
23843,GENE-Y,GENE-Y,Not
23844,GENE-Y,GENE-Y,Not
23845,GENE-Y,GENE-Y,Not
23846,CHEMICAL,CHEMICAL,Not
23847,CHEMICAL,CHEMICAL,Not
23848,CHEMICAL,GENE-Y,Not
23849,GENE-Y,CHEMICAL,Not
23850,CHEMICAL,CHEMICAL,Not
23851,CHEMICAL,GENE-N,Not
23852,CHEMICAL,GENE-Y,Not
23853,CHEMICAL,CHEMICAL,Not
23854,CHEMICAL,GENE-N,Not
23855,CHEMICAL,GENE-Y,Not
23856,GENE-N,CHEMICAL,Not
23857,GENE-N,CHEMICAL,Not
23858,GENE-N,GENE-Y,Not
23859,GENE-Y,CHEMICAL,Not
23860,GENE-Y,CHEMICAL,Not
23861,GENE-Y,GENE-N,Not
23862,CHEMICAL,GENE-N,Not
23863,GENE-N,CHEMICAL,Not
23864,CHEMICAL,GENE-N,Upregulator
23865,GENE-N,CHEMICAL,Not
23866,CHEMICAL,GENE-Y,Not
23867,GENE-Y,CHEMICAL,Not
23868,CHEMICAL,CHEMICAL,Not
23869,CHEMICAL,CHEMICAL,Not
23870,CHEMICAL,CHEMICAL,Not
23871,CHEMICAL,CHEMICAL,Not
23872,CHEMICAL,CHEMICAL,Not
23873,CHEMICAL,CHEMICAL,Not
23874,CHEMICAL,CHEMICAL,Not
23875,CHEMICAL,CHEMICAL,Not
23876,CHEMICAL,CHEMICAL,Not
23877,CHEMICAL,CHEMICAL,Not
23878,CHEMICAL,CHEMICAL,Not
23879,CHEMICAL,CHEMICAL,Not
23880,GENE-Y,GENE-Y,Not
23881,GENE-N,GENE-Y,Not
23882,GENE-Y,GENE-Y,Not
23883,GENE-N,GENE-Y,Not
23884,GENE-N,GENE-Y,Not
23885,GENE-N,GENE-Y,Not
23886,GENE-Y,GENE-Y,Not
23887,GENE-Y,GENE-Y,Not
23888,GENE-Y,GENE-Y,Not
23889,GENE-Y,GENE-Y,Not
23890,GENE-Y,GENE-Y,Not
23891,GENE-Y,GENE-Y,Not
23892,GENE-Y,GENE-Y,Not
23893,GENE-Y,GENE-Y,Not
23894,GENE-Y,GENE-Y,Not
23895,GENE-Y,GENE-Y,Not
23896,GENE-Y,GENE-N,Not
23897,GENE-Y,GENE-Y,Not
23898,GENE-Y,GENE-N,Not
23899,GENE-Y,GENE-Y,Not
23900,GENE-Y,GENE-Y,Not
23901,GENE-Y,GENE-N,Not
23902,GENE-Y,GENE-Y,Not
23903,GENE-Y,GENE-Y,Not
23904,GENE-Y,GENE-Y,Not
23905,GENE-Y,GENE-Y,Not
23906,GENE-Y,GENE-Y,Not
23907,GENE-Y,GENE-Y,Not
23908,GENE-Y,GENE-N,Not
23909,GENE-N,GENE-Y,Not
23910,GENE-Y,GENE-Y,Not
23911,GENE-Y,GENE-Y,Not
23912,GENE-Y,GENE-Y,Not
23913,GENE-N,GENE-Y,Not
23914,GENE-Y,GENE-Y,Not
23915,GENE-Y,GENE-Y,Not
23916,GENE-Y,GENE-Y,Not
23917,GENE-Y,GENE-Y,Not
23918,GENE-Y,GENE-Y,Not
23919,GENE-Y,GENE-Y,Not
23920,GENE-N,GENE-Y,Not
23921,GENE-Y,GENE-Y,Not
23922,GENE-Y,GENE-Y,Not
23923,GENE-Y,GENE-Y,Not
23924,GENE-Y,GENE-Y,Not
23925,GENE-Y,GENE-N,Not
23926,GENE-Y,GENE-Y,Not
23927,GENE-Y,GENE-Y,Not
23928,GENE-Y,GENE-Y,Not
23929,GENE-Y,GENE-Y,Not
23930,CHEMICAL,GENE-Y,Upregulator
23931,CHEMICAL,GENE-Y,Not
23932,CHEMICAL,GENE-Y,Not
23933,GENE-Y,CHEMICAL,Not
23934,GENE-Y,GENE-Y,Not
23935,GENE-Y,GENE-Y,Not
23936,GENE-Y,CHEMICAL,Not
23937,GENE-Y,GENE-Y,Not
23938,GENE-Y,GENE-Y,Not
23939,GENE-Y,CHEMICAL,Not
23940,GENE-Y,GENE-Y,Not
23941,GENE-Y,GENE-Y,Not
23942,CHEMICAL,GENE-Y,Upregulator
23943,CHEMICAL,GENE-Y,Upregulator
23944,CHEMICAL,GENE-Y,Downregulator
23945,CHEMICAL,GENE-Y,Not
23946,CHEMICAL,GENE-N,Not
23947,GENE-Y,CHEMICAL,Not
23948,GENE-Y,GENE-N,Not
23949,GENE-Y,GENE-Y,Not
23950,GENE-Y,GENE-Y,Not
23951,GENE-Y,GENE-Y,Not
23952,GENE-N,CHEMICAL,Not
23953,GENE-N,GENE-Y,Not
23954,GENE-N,GENE-Y,Not
23955,GENE-N,GENE-Y,Not
23956,GENE-N,GENE-Y,Not
23957,GENE-Y,CHEMICAL,Not
23958,GENE-Y,GENE-Y,Not
23959,GENE-Y,GENE-N,Not
23960,GENE-Y,GENE-Y,Not
23961,GENE-Y,GENE-Y,Not
23962,GENE-Y,CHEMICAL,Not
23963,GENE-Y,GENE-Y,Not
23964,GENE-Y,GENE-N,Not
23965,GENE-Y,GENE-Y,Not
23966,GENE-Y,GENE-Y,Not
23967,GENE-Y,CHEMICAL,Not
23968,GENE-Y,GENE-Y,Not
23969,GENE-Y,GENE-N,Not
23970,GENE-Y,GENE-Y,Not
23971,GENE-Y,GENE-Y,Not
23972,GENE-Y,GENE-N,Not
23973,GENE-Y,GENE-Y,Not
23974,GENE-N,GENE-Y,Not
23975,GENE-N,GENE-Y,Not
23976,GENE-Y,GENE-Y,Not
23977,GENE-Y,GENE-N,Not
23978,CHEMICAL,GENE-Y,Upregulator
23979,CHEMICAL,CHEMICAL,Not
23980,CHEMICAL,CHEMICAL,Not
23981,CHEMICAL,CHEMICAL,Not
23982,CHEMICAL,CHEMICAL,Not
23983,CHEMICAL,GENE-Y,Not
23984,CHEMICAL,CHEMICAL,Not
23985,CHEMICAL,CHEMICAL,Not
23986,CHEMICAL,GENE-Y,Not
23987,GENE-Y,CHEMICAL,Not
23988,GENE-Y,CHEMICAL,Not
23989,GENE-Y,CHEMICAL,Not
23990,GENE-Y,GENE-Y,Not
23991,GENE-Y,GENE-Y,Not
23992,GENE-Y,GENE-Y,Not
23993,GENE-Y,GENE-Y,Not
23994,GENE-Y,GENE-Y,Not
23995,GENE-Y,GENE-Y,Not
23996,GENE-Y,GENE-Y,Not
23997,GENE-Y,GENE-Y,Not
23998,GENE-Y,GENE-Y,Not
23999,GENE-Y,GENE-Y,Not
24000,GENE-Y,GENE-Y,Not
24001,GENE-Y,GENE-Y,Not
24002,CHEMICAL,GENE-N,Not
24003,GENE-N,CHEMICAL,Not
24004,CHEMICAL,CHEMICAL,Not
24005,CHEMICAL,GENE-Y,Not
24006,CHEMICAL,GENE-Y,Not
24007,CHEMICAL,GENE-Y,Not
24008,CHEMICAL,GENE-Y,Not
24009,CHEMICAL,CHEMICAL,Not
24010,CHEMICAL,GENE-Y,Not
24011,CHEMICAL,GENE-Y,Not
24012,CHEMICAL,GENE-Y,Not
24013,CHEMICAL,GENE-Y,Not
24014,GENE-Y,CHEMICAL,Not
24015,GENE-Y,CHEMICAL,Not
24016,GENE-Y,GENE-Y,Not
24017,GENE-Y,GENE-Y,Not
24018,GENE-Y,GENE-Y,Not
24019,GENE-Y,CHEMICAL,Not
24020,GENE-Y,CHEMICAL,Not
24021,GENE-Y,GENE-Y,Not
24022,GENE-Y,GENE-Y,Not
24023,GENE-Y,GENE-Y,Not
24024,GENE-Y,CHEMICAL,Not
24025,GENE-Y,CHEMICAL,Not
24026,GENE-Y,GENE-Y,Not
24027,GENE-Y,GENE-Y,Not
24028,GENE-Y,GENE-Y,Not
24029,GENE-Y,CHEMICAL,Not
24030,GENE-Y,CHEMICAL,Not
24031,GENE-Y,GENE-Y,Not
24032,GENE-Y,GENE-Y,Not
24033,GENE-Y,GENE-Y,Not
24034,GENE-N,GENE-N,Not
24035,GENE-N,GENE-Y,Not
24036,GENE-N,GENE-N,Not
24037,GENE-N,GENE-Y,Not
24038,GENE-Y,GENE-N,Not
24039,GENE-Y,GENE-N,Not
24040,GENE-Y,GENE-Y,Not
24041,GENE-Y,GENE-N,Not
24042,GENE-Y,GENE-Y,Not
24043,GENE-Y,GENE-N,Not
24044,GENE-N,GENE-Y,Not
24045,GENE-N,GENE-Y,Not
24046,CHEMICAL,GENE-Y,Not
24047,CHEMICAL,GENE-Y,Not
24048,GENE-Y,CHEMICAL,Not
24049,GENE-Y,GENE-Y,Not
24050,GENE-Y,CHEMICAL,Not
24051,GENE-Y,GENE-Y,Not
24052,GENE-Y,GENE-N,Not
24053,GENE-Y,GENE-Y,Not
24054,GENE-N,GENE-Y,Not
24055,GENE-N,GENE-Y,Not
24056,GENE-Y,GENE-Y,Not
24057,GENE-Y,GENE-N,Not
24058,GENE-N,GENE-N,Not
24059,GENE-N,GENE-Y,Not
24060,GENE-N,GENE-Y,Not
24061,GENE-N,GENE-N,Not
24062,GENE-N,GENE-Y,Not
24063,GENE-N,GENE-Y,Not
24064,GENE-Y,GENE-N,Not
24065,GENE-Y,GENE-N,Not
24066,GENE-Y,GENE-Y,Not
24067,GENE-Y,GENE-N,Not
24068,GENE-Y,GENE-N,Not
24069,GENE-Y,GENE-Y,Not
24070,CHEMICAL,GENE-Y,Not
24071,CHEMICAL,GENE-Y,Not
24072,CHEMICAL,GENE-Y,Not
24073,CHEMICAL,GENE-N,Not
24074,GENE-Y,CHEMICAL,Not
24075,GENE-Y,GENE-Y,Not
24076,GENE-Y,GENE-N,Not
24077,GENE-Y,GENE-Y,Not
24078,GENE-Y,CHEMICAL,Not
24079,GENE-Y,GENE-Y,Not
24080,GENE-Y,GENE-N,Not
24081,GENE-Y,GENE-Y,Not
24082,GENE-N,CHEMICAL,Not
24083,GENE-N,GENE-Y,Not
24084,GENE-N,GENE-Y,Not
24085,GENE-N,GENE-Y,Not
24086,GENE-Y,CHEMICAL,Not
24087,GENE-Y,GENE-Y,Not
24088,GENE-Y,GENE-Y,Not
24089,GENE-Y,GENE-N,Not
24090,GENE-N,GENE-N,Not
24091,GENE-N,GENE-N,Not
24092,GENE-Y,GENE-Y,Not
24093,GENE-Y,GENE-Y,Not
24094,GENE-Y,GENE-Y,Not
24095,GENE-Y,GENE-Y,Not
24096,GENE-Y,GENE-Y,Not
24097,GENE-Y,GENE-Y,Not
24098,GENE-Y,GENE-Y,Not
24099,GENE-Y,GENE-Y,Not
24100,CHEMICAL,GENE-Y,Not
24101,CHEMICAL,GENE-N,Not
24102,GENE-Y,CHEMICAL,Not
24103,GENE-Y,GENE-N,Not
24104,GENE-N,CHEMICAL,Not
24105,GENE-N,GENE-Y,Not
24106,GENE-Y,GENE-N,Not
24107,GENE-N,GENE-Y,Not
24108,GENE-N,GENE-N,Not
24109,GENE-N,GENE-N,Not
24110,GENE-N,GENE-N,Not
24111,GENE-N,GENE-Y,Not
24112,GENE-N,GENE-N,Not
24113,GENE-N,GENE-N,Not
24114,GENE-N,GENE-N,Not
24115,GENE-N,GENE-Y,Not
24116,GENE-N,GENE-N,Not
24117,GENE-N,GENE-N,Not
24118,GENE-N,GENE-N,Not
24119,GENE-N,GENE-Y,Not
24120,GENE-N,GENE-N,Not
24121,GENE-N,GENE-N,Not
24122,GENE-N,GENE-N,Not
24123,GENE-N,GENE-Y,Not
24124,GENE-Y,GENE-N,Not
24125,GENE-Y,GENE-N,Not
24126,GENE-Y,GENE-N,Not
24127,GENE-Y,GENE-N,Not
24128,GENE-Y,GENE-N,Not
24129,GENE-N,GENE-Y,Not
24130,CHEMICAL,GENE-N,Upregulator
24131,CHEMICAL,CHEMICAL,Not
24132,CHEMICAL,GENE-N,Not
24133,CHEMICAL,CHEMICAL,Not
24134,GENE-N,CHEMICAL,Not
24135,GENE-N,CHEMICAL,Not
24136,CHEMICAL,GENE-N,Not
24137,CHEMICAL,GENE-N,Not
24138,GENE-N,CHEMICAL,Not
24139,GENE-N,GENE-N,Not
24140,GENE-N,CHEMICAL,Not
24141,GENE-N,GENE-N,Not
24142,GENE-N,GENE-N,Not
24143,GENE-N,GENE-N,Not
24144,GENE-N,GENE-N,Not
24145,GENE-N,GENE-Y,Not
24146,GENE-N,GENE-N,Not
24147,GENE-N,GENE-N,Not
24148,GENE-N,GENE-N,Not
24149,GENE-N,GENE-Y,Not
24150,GENE-N,GENE-N,Not
24151,GENE-N,GENE-N,Not
24152,GENE-N,GENE-N,Not
24153,GENE-N,GENE-Y,Not
24154,GENE-N,GENE-N,Not
24155,GENE-N,GENE-N,Not
24156,GENE-N,GENE-N,Not
24157,GENE-N,GENE-Y,Not
24158,GENE-Y,GENE-N,Not
24159,GENE-Y,GENE-N,Not
24160,GENE-Y,GENE-N,Not
24161,GENE-Y,GENE-N,Not
24162,CHEMICAL,GENE-N,Upregulator
24163,CHEMICAL,GENE-N,Upregulator
24164,CHEMICAL,CHEMICAL,Not
24165,CHEMICAL,CHEMICAL,Not
24166,CHEMICAL,GENE-N,Not
24167,CHEMICAL,GENE-Y,Not
24168,CHEMICAL,GENE-N,Not
24169,CHEMICAL,CHEMICAL,Not
24170,CHEMICAL,CHEMICAL,Not
24171,CHEMICAL,GENE-N,Not
24172,CHEMICAL,GENE-Y,Not
24173,CHEMICAL,GENE-N,Not
24174,CHEMICAL,CHEMICAL,Not
24175,CHEMICAL,CHEMICAL,Not
24176,CHEMICAL,GENE-N,Not
24177,CHEMICAL,GENE-N,Not
24178,CHEMICAL,GENE-Y,Not
